CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,S.A.M.,APU,BST,C-A,FPV,FIC,INCA-FS,TCA,L.E.A.L,MAS-IPSP,MRP,MTS,PP,PAN-BOL,PDC,SUMA,UCS,UNICO,UN SOL PARA ORURO,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
4000012,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,1,220,0,0,44,5,4,0,0,0,0,50,0,2,22,1,4,0,6,6,38,182,8,7,197,182,197
4000022,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,2,220,0,0,35,8,3,0,0,0,0,44,0,5,19,5,2,0,4,8,39,172,15,9,196,172,196
4000032,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,3,220,0,0,51,1,3,0,0,0,0,48,0,1,9,4,2,0,3,2,31,155,17,20,192,155,192
4000042,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4,220,0,0,39,6,0,0,0,0,0,30,0,6,21,1,4,0,5,5,31,148,11,16,175,148,175
4000072,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,1,220,0,0,56,5,3,0,0,0,0,28,0,0,32,3,1,0,2,6,36,172,8,6,186,172,186
4000122,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,6,172,0,0,49,4,2,0,0,0,0,14,0,1,18,6,1,0,5,12,28,140,3,10,153,140,153
4000152,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,3,220,0,0,41,3,6,0,0,0,0,52,0,1,13,2,2,0,3,3,41,167,12,9,188,167,188
4000172,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,5,220,0,0,27,9,0,0,0,0,0,54,0,2,29,1,1,0,1,6,37,167,7,9,183,167,183
4000182,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,6,26,0,0,3,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,17,1,2,20,17,20
4000812,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,109,Col. Particular Reekie,1,220,0,0,51,8,3,0,0,0,0,29,0,1,24,5,3,0,5,5,43,177,8,5,190,177,190
4000832,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,109,Col. Particular Reekie,3,220,0,0,37,7,2,0,0,0,0,39,0,3,22,2,4,0,5,6,42,169,7,14,190,169,190
4000842,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,109,Col. Particular Reekie,4,220,0,0,52,8,1,0,0,0,0,34,0,2,13,0,1,0,4,11,41,167,16,10,193,167,193
4000852,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,109,Col. Particular Reekie,5,220,0,0,50,11,4,0,0,0,0,37,0,2,17,2,5,0,6,7,34,175,12,6,193,175,193
4000872,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,109,Col. Particular Reekie,7,220,0,0,45,9,4,0,0,0,0,39,0,2,14,1,4,0,3,9,26,156,8,17,181,156,181
4000892,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25035,U. E. Alto Oruro,1,220,0,0,20,4,2,0,0,0,0,74,0,12,15,6,3,0,4,1,28,169,10,15,194,169,194
4000902,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25035,U. E. Alto Oruro,2,220,0,0,25,8,1,0,0,0,0,70,0,10,16,3,1,0,2,2,29,167,13,10,190,167,190
4000912,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25035,U. E. Alto Oruro,3,220,0,0,15,6,3,0,0,0,0,82,0,7,10,5,5,0,4,2,27,166,13,14,193,166,193
4001702,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,118,Fac. De Derecho (Esc. 10 De Febrero),3,220,0,0,35,10,2,0,0,0,0,40,0,1,23,1,2,0,3,7,38,162,11,10,183,162,183
4001712,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,118,Fac. De Derecho (Esc. 10 De Febrero),4,109,0,0,20,1,2,0,0,0,0,26,0,0,12,1,1,0,1,6,13,83,2,5,90,83,90
4001862,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25045,U.E. Particular Arrieta,1,220,0,0,31,6,7,0,0,0,0,39,0,1,15,3,2,0,3,5,57,169,9,14,192,169,192
4001872,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25045,U.E. Particular Arrieta,2,220,0,0,43,7,3,0,0,0,0,38,0,3,12,2,2,0,7,4,43,164,8,12,184,164,184
4001882,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25045,U.E. Particular Arrieta,3,99,0,0,19,2,4,0,0,0,0,22,0,4,7,2,0,0,3,2,12,77,2,4,83,77,83
4002502,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,1,220,0,0,8,3,1,0,0,0,0,70,0,3,8,2,1,0,2,6,16,120,28,10,158,120,158
4002512,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,2,220,0,0,7,3,1,0,0,0,0,56,0,4,4,1,0,0,6,2,28,112,29,5,146,112,146
4002522,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,3,25,0,0,2,0,0,0,0,0,0,9,0,0,0,1,0,0,1,1,0,14,1,2,17,14,17
