CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,AHORA!,CAMBIEMOS,CPEM-B,FPV,MAS-IPSP,DEMOCRATAS,MNR,MTS,NACER,PAN-BOL,SOMOS,UNEBENI,TODOS,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
8000011,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,1,220,17,0,7,0,24,0,0,94,1,0,0,0,24,0,167,10,2,179,167,179
8000021,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,2,220,21,2,0,0,19,0,0,122,0,0,0,2,11,0,177,11,5,193,177,193
8000031,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,3,220,17,0,1,1,29,0,0,96,2,0,0,0,14,0,160,6,5,171,160,171
8000041,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,4,220,24,3,1,3,20,0,0,92,1,0,0,1,21,0,166,7,2,175,166,175
8000051,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,5,191,9,2,0,1,21,0,0,91,0,0,0,0,12,0,136,9,5,150,136,150
8000061,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,1,220,30,3,4,1,14,0,0,90,0,0,0,1,30,0,173,6,3,182,173,182
8000071,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,2,220,17,2,1,0,23,0,0,102,0,0,0,0,25,0,170,5,3,178,170,178
8000081,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,3,220,29,1,3,1,20,0,0,99,0,0,0,0,17,0,170,2,4,176,170,176
8000091,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,4,220,32,1,2,2,23,0,0,86,1,0,0,2,20,0,169,2,2,173,169,173
8000101,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,5,220,24,2,0,1,32,0,0,101,0,0,0,0,23,0,183,4,3,190,183,190
