CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,AHORA!,CAMBIEMOS,CPEM-B,FPV,MAS-IPSP,DEMOCRATAS,MNR,MTS,NACER,PAN-BOL,SOMOS,UNEBENI,TODOS,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
8000161,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),1,220,25,2,1,0,30,0,0,92,0,0,0,1,16,0,167,5,5,177,167,177
8000171,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),2,220,25,2,0,3,22,0,0,93,2,0,0,0,17,0,164,3,3,170,164,170
8000181,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),3,220,18,2,3,2,36,0,0,86,0,0,0,2,20,0,169,6,1,176,169,176
8000201,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),5,182,25,2,0,0,18,0,0,85,0,0,0,1,8,0,139,4,6,149,139,149
8000211,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,1,220,16,3,4,2,19,0,0,107,0,0,0,0,15,0,166,4,4,174,166,174
8000231,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,3,220,22,2,0,3,24,0,0,97,0,0,0,1,16,0,165,5,4,174,165,174
8000241,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,4,220,19,0,2,0,24,0,0,106,0,0,0,3,12,0,166,8,4,178,166,178
8000271,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,7,220,19,0,2,0,19,0,0,114,0,0,0,1,17,0,172,12,5,189,172,189
8000281,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8,220,17,0,3,0,36,0,0,103,0,0,0,3,13,0,175,9,2,186,175,186
8000291,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,9,220,24,2,1,0,31,0,0,108,0,0,0,0,10,0,176,11,3,190,176,190
8000791,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,29,(Cárcel) Cárcel De Mujeres,1,55,8,1,5,1,8,0,0,9,0,0,0,0,2,0,34,6,0,40,34,40
8001931,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,25028,U.E. Orlando Monasterio Claure,1,220,28,0,1,0,43,0,0,89,0,0,0,1,15,0,177,12,9,198,177,198
8001941,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,25028,U.E. Orlando Monasterio Claure,2,221,25,1,6,0,27,0,0,93,1,0,0,3,9,0,165,14,5,184,165,184
8002401,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32009,U.E. Andres Bello (Temporal),2,220,23,0,2,1,19,0,0,101,2,0,0,0,31,0,179,7,2,188,179,188
