CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,AHORA!,CAMBIEMOS,CPEM-B,FPV,MAS-IPSP,DEMOCRATAS,MNR,MTS,NACER,PAN-BOL,SOMOS,UNEBENI,TODOS,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
8000031,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,3,220,17,0,1,1,29,0,0,96,2,0,0,0,14,0,160,6,5,171,160,171
8000071,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,2,220,17,2,1,0,23,0,0,102,0,0,0,0,25,0,170,5,3,178,170,178
8000081,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,3,220,29,1,3,1,20,0,0,99,0,0,0,0,17,0,170,2,4,176,170,176
8000101,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,5,220,24,2,0,1,32,0,0,101,0,0,0,0,23,0,183,4,3,190,183,190
8000131,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32007,U.E. Kinder Republica Argentina (Temporal),2,220,17,1,0,1,26,0,0,109,1,0,0,1,13,0,169,6,4,179,169,179
8000151,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32007,U.E. Kinder Republica Argentina (Temporal),4,204,21,2,2,2,20,0,0,103,1,0,0,0,19,0,170,7,3,180,170,180
8000161,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),1,220,25,2,1,0,30,0,0,92,0,0,0,1,16,0,167,5,5,177,167,177
8000171,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),2,220,25,2,0,3,22,0,0,93,2,0,0,0,17,0,164,3,3,170,164,170
8000181,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),3,220,18,2,3,2,36,0,0,86,0,0,0,2,20,0,169,6,1,176,169,176
8000201,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,32008,U.E. Instituto Americano (Temporal),5,182,25,2,0,0,18,0,0,85,0,0,0,1,8,0,139,4,6,149,139,149
8000211,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,1,220,16,3,4,2,19,0,0,107,0,0,0,0,15,0,166,4,4,174,166,174
8000221,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,2,220,27,2,1,0,24,0,0,98,2,0,0,2,13,0,169,7,11,187,169,187
8000231,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,3,220,22,2,0,3,24,0,0,97,0,0,0,1,16,0,165,5,4,174,165,174
8000241,GOBERNADOR(A),32,Bolivia,8,Beni,1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,4,220,19,0,2,0,24,0,0,106,0,0,0,3,12,0,166,8,4,178,166,178
